open;high;low;close;volume;time;datetime;Time2;fvg_bearish;fvg_bullish;fvg_bearish_high;fvg_bearish_low;fvg_bullish_high;fvg_bullish_low
0.0074706;0.0074835;0.0074685;0.0074686;1749661.0;1714301640000;2024-04-28 10:54:00+00:00;2024-04-28 10:54:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074685;0.0074711;0.0074556;0.0074691;11061373.0;1714301820000;2024-04-28 10:57:00+00:00;2024-04-28 10:57:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074692;0.0074776;0.0074539;0.0074575;8450430.0;1714302000000;2024-04-28 11:00:00+00:00;2024-04-28 11:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074608;0.0074775;0.0074574;0.0074773;7093586.0;1714302180000;2024-04-28 11:03:00+00:00;2024-04-28 11:03:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074773;0.0075015;0.0074727;0.0075011;6428478.0;1714302360000;2024-04-28 11:06:00+00:00;2024-04-28 11:06:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075014;0.0075014;0.0074597;0.0074634;7492990.0;1714302540000;2024-04-28 11:09:00+00:00;2024-04-28 11:09:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074633;0.007489;0.0074632;0.0074739;3596009.0;1714302720000;2024-04-28 11:12:00+00:00;2024-04-28 11:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074738;0.0074776;0.0074172;0.0074287;10939007.0;1714302900000;2024-04-28 11:15:00+00:00;2024-04-28 11:15:00+00:00;1.0;0.0;0.0074632;0.0074455;0.0;0.0
0.0074286;0.0074455;0.0074222;0.0074394;6656371.0;1714303080000;2024-04-28 11:18:00+00:00;2024-04-28 11:18:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074395;0.0074445;0.0074111;0.0074203;15293002.0;1714303260000;2024-04-28 11:21:00+00:00;2024-04-28 11:21:00+00:00;1.0;0.0;0.0074222;0.0074199;0.0;0.0
0.007414;0.0074199;0.0073567;0.0073576;25580421.0;1714303440000;2024-04-28 11:24:00+00:00;2024-04-28 11:24:00+00:00;1.0;0.0;0.0074111;0.0074034;0.0;0.0
0.0073575;0.0074034;0.0073567;0.0074003;8241675.0;1714303620000;2024-04-28 11:27:00+00:00;2024-04-28 11:27:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073962;0.0074041;0.0073691;0.0073757;4341918.0;1714303800000;2024-04-28 11:30:00+00:00;2024-04-28 11:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073757;0.0074018;0.0073712;0.0073916;30944285.0;1714303980000;2024-04-28 11:33:00+00:00;2024-04-28 11:33:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073915;0.0073918;0.0073674;0.0073752;11174899.0;1714304160000;2024-04-28 11:36:00+00:00;2024-04-28 11:36:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073731;0.0073896;0.0073675;0.0073836;1630262.0;1714304340000;2024-04-28 11:39:00+00:00;2024-04-28 11:39:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073833;0.0073838;0.0073667;0.0073811;3451407.0;1714304520000;2024-04-28 11:42:00+00:00;2024-04-28 11:42:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073811;0.0073813;0.0072903;0.0073261;21679836.0;1714304700000;2024-04-28 11:45:00+00:00;2024-04-28 11:45:00+00:00;1.0;0.0;0.0073667;0.0073406;0.0;0.0
0.0073218;0.0073406;0.007306;0.0073277;4014333.0;1714304880000;2024-04-28 11:48:00+00:00;2024-04-28 11:48:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073278;0.0073489;0.0073277;0.0073353;2846356.0;1714305060000;2024-04-28 11:51:00+00:00;2024-04-28 11:51:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073373;0.0073419;0.0073285;0.0073314;3010410.0;1714305240000;2024-04-28 11:54:00+00:00;2024-04-28 11:54:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073315;0.0073502;0.0073311;0.0073338;3244904.0;1714305420000;2024-04-28 11:57:00+00:00;2024-04-28 11:57:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073338;0.0073397;0.0073215;0.0073397;3909666.0;1714305600000;2024-04-28 12:00:00+00:00;2024-04-28 12:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073395;0.0073676;0.0073385;0.0073635;5026148.0;1714305780000;2024-04-28 12:03:00+00:00;2024-04-28 12:03:00+00:00;0.0;1.0;0.0;0.0;0.0073476;0.0073397
0.0073635;0.0073636;0.0073476;0.0073605;2220340.0;1714305960000;2024-04-28 12:06:00+00:00;2024-04-28 12:06:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073604;0.0073656;0.0073484;0.0073507;1397852.0;1714306140000;2024-04-28 12:09:00+00:00;2024-04-28 12:09:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073508;0.0073825;0.0073427;0.0073775;4687676.0;1714306320000;2024-04-28 12:12:00+00:00;2024-04-28 12:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073774;0.0073778;0.0073495;0.0073547;3562493.0;1714306500000;2024-04-28 12:15:00+00:00;2024-04-28 12:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073546;0.0073669;0.0073487;0.0073491;1184016.0;1714306680000;2024-04-28 12:18:00+00:00;2024-04-28 12:18:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073489;0.0073674;0.0073451;0.0073479;2037864.0;1714306860000;2024-04-28 12:21:00+00:00;2024-04-28 12:21:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073479;0.0073544;0.0073472;0.0073511;1907986.0;1714307040000;2024-04-28 12:24:00+00:00;2024-04-28 12:24:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073512;0.0073597;0.0073459;0.0073564;6325492.0;1714307220000;2024-04-28 12:27:00+00:00;2024-04-28 12:27:00+00:00;0.0;1.0;0.0;0.0;0.0073562;0.0073544
0.0073562;0.00741;0.0073562;0.0073887;8003678.0;1714307400000;2024-04-28 12:30:00+00:00;2024-04-28 12:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073857;0.0073876;0.0073463;0.0073506;2971462.0;1714307580000;2024-04-28 12:33:00+00:00;2024-04-28 12:33:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073503;0.0073574;0.0073462;0.0073501;7205848.0;1714307760000;2024-04-28 12:36:00+00:00;2024-04-28 12:36:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.00735;0.007355;0.0073278;0.0073314;2514741.0;1714307940000;2024-04-28 12:39:00+00:00;2024-04-28 12:39:00+00:00;1.0;0.0;0.0073462;0.0073339;0.0;0.0
0.0073313;0.0073339;0.0073205;0.0073216;4098387.0;1714308120000;2024-04-28 12:42:00+00:00;2024-04-28 12:42:00+00:00;1.0;0.0;0.0073278;0.0073261;0.0;0.0
0.0073216;0.0073261;0.0073165;0.007326;5081822.0;1714308300000;2024-04-28 12:45:00+00:00;2024-04-28 12:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073261;0.0073875;0.007326;0.0073761;3808568.0;1714308480000;2024-04-28 12:48:00+00:00;2024-04-28 12:48:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007376;0.0073828;0.0073246;0.0073378;8273892.0;1714308660000;2024-04-28 12:51:00+00:00;2024-04-28 12:51:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073378;0.0073459;0.0073328;0.0073407;3786789.0;1714308840000;2024-04-28 12:54:00+00:00;2024-04-28 12:54:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
